ticker,name,currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,start_close,end_close,percentage_change,volatility,50_day_SMA,cumulative_return
mmm,3M Co,USD,Industrial Conglomerates,A,High,BB,Medium,BB,Medium,526,310,305,1141,04-16-2022,BBB,High,146.0702362060547,100.2675552368164,-31.35661457042248,0.014472363329193686,104.0663883972168,-0.3135661457042248
aos,A O Smith Corp,USD,Building,A,High,BB,Medium,BB,Medium,510,315,310,1135,04-16-2022,BBB,High,56.029998779296875,57.2400016784668,2.1595626013417277,0.018196107224902235,57.34359985351563,0.021595626013417357
abvc,ABVC Biopharma Inc,USD,Biotechnology,B,Medium,B,Medium,B,Medium,220,212,205,637,11-06-2022,B,Medium,50.0,6.25,-87.5,0.0899214956938911,7.1732000064849855,-0.875
acad,ACADIA Pharmaceuticals Inc,USD,Biotechnology,B,Medium,B,Medium,BB,Medium,230,230,305,765,04-16-2022,BB,Medium,46.58000183105469,15.920000076293945,-65.82224248501393,0.04537355440048343,15.391399955749511,-0.6582224248501393
aciw,ACI Worldwide Inc,USD,Technology,A,High,BB,Medium,BB,Medium,500,327,300,1127,04-16-2022,BBB,High,39.59000015258789,23.0,-41.904521567685435,0.021738724412920893,21.438400039672853,-0.4190452156768544
acmr,ACM Research Inc,USD,Semiconductors,BBB,High,B,Medium,BB,Medium,410,232,325,967,10-06-2022,BBB,High,31.933332443237305,7.710000038146973,-75.85594910317678,0.054797677603441064,8.08879997253418,-0.7585594910317679
acnb,ACNB Corp,USD,Banking,B,Medium,B,Medium,B,Medium,220,219,215,654,04-16-2022,B,Medium,25.06999969482422,39.810001373291016,58.79538036655787,0.017259328208744266,37.89360008239746,0.5879538036655787
adma,ADMA Biologics Inc,USD,Biotechnology,B,Medium,B,Medium,BB,Medium,240,264,320,824,04-16-2022,BB,Medium,2.450000047683716,3.880000114440918,58.36734852757067,0.041679828075839205,3.2068000078201293,0.5836734852757068
adtn,ADTRAN Inc,USD,Communications,A,High,BB,Medium,BB,Medium,510,308,300,1118,04-16-2022,BBB,High,17.219999313354492,18.790000915527344,9.117315126460431,0.02858193445254409,20.14520004272461,0.09117315126460435
aes,AES Corp,USD,Utilities,A,High,BB,Medium,BB,Medium,525,326,370,1221,04-16-2022,A,High,24.809999465942383,28.760000228881836,15.921003014779453,0.019695063383985967,27.589799995422364,0.15921003014779456
agmh,AGM Group Holdings Inc,USD,Financial Services,B,Medium,B,Medium,B,Medium,205,204,210,619,10-06-2022,B,Medium,15.25,1.649999976158142,-89.18032802519251,0.05540021400028351,1.6181399941444397,-0.8918032802519251
agnc,AGNC Investment Corp,USD,Real Estate,BB,Medium,B,Medium,BB,Medium,382,242,305,929,04-16-2022,BBB,High,15.890000343322754,10.350000381469727,-34.86469378322593,0.0178658243115429,9.399999990463257,-0.3486469378322593
ame,AMETEK Inc,USD,Electrical Equipment,A,High,BB,Medium,B,Medium,540,329,270,1139,04-16-2022,BBB,High,114.87999725341797,139.72000122070312,21.62256664446961,0.013727847741257581,136.52840042114258,0.21622566644469599
anss,ANSYS Inc,USD,Technology,A,High,BB,Medium,B,Medium,580,337,285,1202,04-16-2022,A,High,367.94000244140625,241.58999633789062,-34.33983944804605,0.023229938849247095,237.30239990234375,-0.3433983944804605
apa,APA Corp (US),USD,Energy,A,High,BB,Medium,BB,Medium,510,316,325,1151,04-16-2022,BBB,High,15.119999885559082,46.68000030517578,208.73016308524743,0.03615086526590344,45.829199905395505,2.0873016308524743
t,AT&T Inc,USD,Telecommunication,B,Medium,B,Medium,BB,Medium,210,200,305,715,04-16-2022,B,Medium,21.638973236083984,18.40999984741211,-14.922026814504363,0.015132370594409547,18.572000007629395,-0.14922026814504363
aadi,Aadi Bioscience Inc,USD,Biotechnology,B,Medium,B,Medium,B,Medium,200,201,203,604,11-06-2022,B,Medium,21.899999618530273,12.829999923706055,-41.4155244420635,0.055485242868083005,12.963499984741212,-0.414155244420635
aaon,Aaon Inc,USD,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,04-16-2022,BBB,High,49.973331451416016,50.21333312988281,0.48025951341692336,0.020645695372778123,49.23719993591308,0.004802595134169252
abt,Abbott Laboratories,USD,Health Care,A,High,BB,Medium,BB,Medium,515,305,305,1125,04-16-2022,BBB,High,122.54000091552734,109.79000091552734,-10.404765713025563,0.015091145602475731,104.0027995300293,-0.10404765713025566
abbv,Abbvie Inc,USD,Biotechnology,A,High,BB,Medium,BB,Medium,505,317,300,1122,04-16-2022,BBB,High,102.30000305175781,161.61000061035156,57.976535473402045,0.01329840905379998,156.3895999145508,0.5797653547340205
