ticker,name,currency,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,start_close,end_close,percentage_change,volatility,50_day_SMA,cumulative_return,ESG score level
tt,Trane Technologies PLC,USD,Building,AA,Excellent,BB,Medium,BB,Medium,700,389,320,1409,11-06-2022,A,High,142.75,168.08999633789062,17.751310919713223,0.017015569673947822,169.4329995727539,0.17751310919713226,High
mas,Masco Corp,USD,Building,A,High,BB,Medium,BB,Medium,522,323,305,1150,04-18-2022,BBB,High,55.08000183105469,46.66999816894531,-15.268706213745487,0.018719390437482136,48.07099952697754,-0.15268706213745487,High
zws,Zurn Elkay Water Solutions Corp,USD,Building,A,High,BB,Medium,BB,Medium,500,300,300,1100,11-06-2022,BBB,High,38.88999938964844,21.149999618530273,-45.61583967481398,0.03277601282873025,23.315799980163575,-0.45615839674813974,High
aos,A O Smith Corp,USD,Building,A,High,BB,Medium,BB,Medium,510,315,310,1135,04-16-2022,BBB,High,56.029998779296875,57.2400016784668,2.1595626013417277,0.018196107224902235,57.34359985351563,0.021595626013417357,High
aaon,Aaon Inc,USD,Building,A,High,BB,Medium,B,Medium,500,300,223,1023,04-16-2022,BBB,High,49.973331451416016,50.21333312988281,0.48025951341692336,0.020645695372778123,49.23719993591308,0.004802595134169252,High
xpo,XPO Logistics Inc,USD,Road & Rail,A,High,BB,Medium,BB,Medium,560,318,300,1178,04-20-2022,BBB,High,39.738616943359375,33.290000915527344,-16.227580433972914,0.02841275181311081,34.97368064880371,-0.1622758043397291,High
unp,Union Pacific Corp,USD,Road & Rail,B,Medium,B,Medium,B,Medium,290,257,245,792,04-19-2022,BB,Medium,198.60000610351562,207.07000732421875,4.264854461428532,0.014568118131635156,207.0428009033203,0.042648544614285244,High
csx,CSX Corp,USD,Road & Rail,A,High,BB,Medium,BB,Medium,510,310,325,1145,04-17-2022,BBB,High,29.016666412353516,30.979999542236328,6.766225664871501,0.01578619474191219,30.759799880981447,0.06766225664871506,High
nsc,Norfolk Southern Corp,USD,Road & Rail,BB,Medium,BB,Medium,BB,Medium,358,339,330,1027,04-18-2022,BBB,High,239.91000366210938,246.4199981689453,2.7135152379909306,0.016158585881661747,241.70059997558593,0.027135152379909266,High
odfl,Old Dominion Freight Line Inc,USD,Road & Rail,BBB,High,BBB,High,B,Medium,467,423,280,1170,04-18-2022,BBB,High,99.55000305175781,141.88999938964844,42.53138627818757,0.02153544243226813,144.18239959716797,0.42531386278187555,High
